dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0048
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0047
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0045
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0056
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0042
4layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.0005, layer 5 
epoch 1 | train ACC 70.5882 % | test ACC 60.2941 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0081
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0073
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0068
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0054
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0049
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0043
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0042
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0044
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0049
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0053
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0052
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0047
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0044
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0043
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0042
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0039
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0037
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.004
5layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.0005, layer 6 
epoch 1 | train ACC 41.1765 % | test ACC 33.8235 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0072
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0049
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.005
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0041
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0043
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0045
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0045
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0045
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.004
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0038
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0037
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0041
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0037
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0041
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0037
6layers, Final test  ACC: 70.5882 %
hd:8, dp:0.4, wd:0.0005, layer 7 
epoch 1 | train ACC 41.1765 % | test ACC 22.0588 % | train loss 0.0082
epoch 11 | train ACC 70.5882 % | test ACC 57.3529 % | train loss 0.0082
epoch 21 | train ACC 52.9412 % | test ACC 58.8235 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0062
epoch 81 | train ACC 70.5882 % | test ACC 75.0 % | train loss 0.0057
epoch 91 | train ACC 58.8235 % | test ACC 72.0588 % | train loss 0.0065
epoch 101 | train ACC 88.2353 % | test ACC 79.4118 % | train loss 0.0075
epoch 111 | train ACC 82.3529 % | test ACC 75.0 % | train loss 0.0052
epoch 121 | train ACC 94.1176 % | test ACC 79.4118 % | train loss 0.0045
epoch 131 | train ACC 100.0 % | test ACC 80.8824 % | train loss 0.0022
epoch 141 | train ACC 100.0 % | test ACC 77.9412 % | train loss 0.0024
epoch 151 | train ACC 94.1176 % | test ACC 77.9412 % | train loss 0.003
epoch 161 | train ACC 94.1176 % | test ACC 73.5294 % | train loss 0.0052
epoch 171 | train ACC 82.3529 % | test ACC 69.1176 % | train loss 0.0075
epoch 181 | train ACC 88.2353 % | test ACC 76.4706 % | train loss 0.0071
epoch 191 | train ACC 94.1176 % | test ACC 79.4118 % | train loss 0.0061
7layers, Final test  ACC: 79.4118 %
hd:8, dp:0.4, wd:0.0005, layer 8 
epoch 1 | train ACC 35.2941 % | test ACC 30.8824 % | train loss 0.0082
epoch 11 | train ACC 58.8235 % | test ACC 30.8824 % | train loss 0.0082
epoch 21 | train ACC 58.8235 % | test ACC 54.4118 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0064
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0057
epoch 71 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.006
epoch 81 | train ACC 70.5882 % | test ACC 73.5294 % | train loss 0.0055
epoch 91 | train ACC 70.5882 % | test ACC 70.5882 % | train loss 0.0077
epoch 101 | train ACC 94.1176 % | test ACC 80.8824 % | train loss 0.0054
epoch 111 | train ACC 100.0 % | test ACC 79.4118 % | train loss 0.0045
epoch 121 | train ACC 88.2353 % | test ACC 76.4706 % | train loss 0.0045
epoch 131 | train ACC 82.3529 % | test ACC 75.0 % | train loss 0.0059
epoch 141 | train ACC 88.2353 % | test ACC 79.4118 % | train loss 0.0048
epoch 151 | train ACC 88.2353 % | test ACC 73.5294 % | train loss 0.0036
epoch 161 | train ACC 88.2353 % | test ACC 75.0 % | train loss 0.0038
epoch 171 | train ACC 100.0 % | test ACC 77.9412 % | train loss 0.0022
epoch 181 | train ACC 94.1176 % | test ACC 77.9412 % | train loss 0.0036
epoch 191 | train ACC 58.8235 % | test ACC 47.0588 % | train loss 0.0151
8layers, Final test  ACC: 72.0588 %
Layer 1, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 2, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 3, Acc:0.7794117331504822, F:0.8177, Pr:0.8235, Auc:0.7653, Rec:0.8235
Layer 4, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 5, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 6, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 7, Acc:0.7941176891326904, F:0.8353, Pr:0.8353, Auc:0.8061, Rec:0.8353
Layer 8, Acc:0.7205882668495178, F:0.6363, Pr:0.7176, Auc:0.5492, Rec:0.7176
Layer 7, max_Acc:79.411769, F:0.8353, Pr:0.8353, Auc:0.8061, Rec:0.8353
hd:8, dp:0.4, wd:0.005, layer 1 
epoch 1 | train ACC 58.8235 % | test ACC 54.4118 % | train loss 0.0084
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
