dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
2layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.005, layer 3 
epoch 1 | train ACC 52.9412 % | test ACC 50.0 % | train loss 0.01
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 111 | train ACC 82.3529 % | test ACC 70.5882 % | train loss 0.0078
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 141 | train ACC 82.3529 % | test ACC 76.4706 % | train loss 0.0073
epoch 151 | train ACC 100.0 % | test ACC 72.0588 % | train loss 0.007
epoch 161 | train ACC 76.4706 % | test ACC 67.6471 % | train loss 0.0079
epoch 171 | train ACC 94.1176 % | test ACC 76.4706 % | train loss 0.0075
epoch 181 | train ACC 94.1176 % | test ACC 69.1176 % | train loss 0.007
epoch 191 | train ACC 76.4706 % | test ACC 67.6471 % | train loss 0.0078
3layers, Final test  ACC: 76.4706 %
hd:16, dp:0.6, wd:0.005, layer 4 
epoch 1 | train ACC 23.5294 % | test ACC 32.3529 % | train loss 0.01
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 101 | train ACC 70.5882 % | test ACC 67.6471 % | train loss 0.0059
epoch 111 | train ACC 88.2353 % | test ACC 77.9412 % | train loss 0.0066
epoch 121 | train ACC 70.5882 % | test ACC 72.0588 % | train loss 0.0069
epoch 131 | train ACC 94.1176 % | test ACC 69.1176 % | train loss 0.0054
epoch 141 | train ACC 100.0 % | test ACC 76.4706 % | train loss 0.0043
epoch 151 | train ACC 94.1176 % | test ACC 77.9412 % | train loss 0.0053
epoch 161 | train ACC 70.5882 % | test ACC 70.5882 % | train loss 0.0123
epoch 171 | train ACC 82.3529 % | test ACC 76.4706 % | train loss 0.0092
epoch 181 | train ACC 100.0 % | test ACC 76.4706 % | train loss 0.0053
epoch 191 | train ACC 94.1176 % | test ACC 73.5294 % | train loss 0.0051
4layers, Final test  ACC: 75.0 %
hd:16, dp:0.6, wd:0.005, layer 5 
epoch 1 | train ACC 41.1765 % | test ACC 35.2941 % | train loss 0.01
epoch 11 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0084
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0074
epoch 51 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0066
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0088
epoch 71 | train ACC 88.2353 % | test ACC 77.9412 % | train loss 0.0074
epoch 81 | train ACC 82.3529 % | test ACC 70.5882 % | train loss 0.007
epoch 91 | train ACC 88.2353 % | test ACC 77.9412 % | train loss 0.0063
epoch 101 | train ACC 100.0 % | test ACC 77.9412 % | train loss 0.0047
epoch 111 | train ACC 94.1176 % | test ACC 82.3529 % | train loss 0.0047
epoch 121 | train ACC 100.0 % | test ACC 77.9412 % | train loss 0.006
epoch 131 | train ACC 100.0 % | test ACC 70.5882 % | train loss 0.0059
epoch 141 | train ACC 82.3529 % | test ACC 72.0588 % | train loss 0.0081
epoch 151 | train ACC 76.4706 % | test ACC 64.7059 % | train loss 0.0087
epoch 161 | train ACC 100.0 % | test ACC 77.9412 % | train loss 0.0046
epoch 171 | train ACC 94.1176 % | test ACC 75.0 % | train loss 0.0058
epoch 181 | train ACC 100.0 % | test ACC 79.4118 % | train loss 0.0057
epoch 191 | train ACC 82.3529 % | test ACC 75.0 % | train loss 0.0096
5layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.005, layer 6 
epoch 1 | train ACC 41.1765 % | test ACC 29.4118 % | train loss 0.01
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0061
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0059
epoch 71 | train ACC 94.1176 % | test ACC 80.8824 % | train loss 0.0061
epoch 81 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0124
epoch 91 | train ACC 35.2941 % | test ACC 30.8824 % | train loss 0.0104
epoch 101 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0092
epoch 111 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0087
epoch 121 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0085
epoch 131 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0083
epoch 141 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0083
epoch 151 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0082
epoch 161 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0082
epoch 171 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0082
epoch 181 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0082
epoch 191 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0082
6layers, Final test  ACC: 29.4118 %
hd:16, dp:0.6, wd:0.005, layer 7 
epoch 1 | train ACC 23.5294 % | test ACC 33.8235 % | train loss 0.01
epoch 11 | train ACC 64.7059 % | test ACC 47.0588 % | train loss 0.0085
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 61 | train ACC 64.7059 % | test ACC 75.0 % | train loss 0.0066
epoch 71 | train ACC 88.2353 % | test ACC 72.0588 % | train loss 0.007
epoch 81 | train ACC 64.7059 % | test ACC 73.5294 % | train loss 0.0067
epoch 91 | train ACC 88.2353 % | test ACC 72.0588 % | train loss 0.0048
epoch 101 | train ACC 94.1176 % | test ACC 77.9412 % | train loss 0.0071
epoch 111 | train ACC 94.1176 % | test ACC 79.4118 % | train loss 0.0065
epoch 121 | train ACC 88.2353 % | test ACC 79.4118 % | train loss 0.0056
epoch 131 | train ACC 35.2941 % | test ACC 32.3529 % | train loss 0.0123
epoch 141 | train ACC 82.3529 % | test ACC 69.1177 % | train loss 0.0073
epoch 151 | train ACC 76.4706 % | test ACC 60.2941 % | train loss 0.0085
epoch 161 | train ACC 88.2353 % | test ACC 73.5294 % | train loss 0.0057
epoch 171 | train ACC 82.3529 % | test ACC 72.0588 % | train loss 0.0076
epoch 181 | train ACC 76.4706 % | test ACC 57.3529 % | train loss 0.0082
epoch 191 | train ACC 88.2353 % | test ACC 73.5294 % | train loss 0.0111
7layers, Final test  ACC: 80.8824 %
hd:16, dp:0.6, wd:0.005, layer 8 
epoch 1 | train ACC 58.8235 % | test ACC 70.5882 % | train loss 0.01
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0077
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0054
epoch 51 | train ACC 47.0588 % | test ACC 48.5294 % | train loss 0.0087
epoch 61 | train ACC 41.1765 % | test ACC 42.6471 % | train loss 0.0106
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0093
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0075
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0113
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0093
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0071
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0058
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0074
epoch 161 | train ACC 70.5882 % | test ACC 73.5294 % | train loss 0.0114
epoch 171 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0104
epoch 181 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0093
epoch 191 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0088
8layers, Final test  ACC: 29.4118 %
Layer 1, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 2, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 3, Acc:0.7647058963775635, F:0.7862, Pr:0.8, Auc:0.7161, Rec:0.8
Layer 4, Acc:0.75, F:0.801, Pr:0.8, Auc:0.7699, Rec:0.8
Layer 5, Acc:0.7058824300765991, F:0.6205, Pr:0.7176, Auc:0.5385, Rec:0.7176
Layer 6, Acc:0.29411765933036804, F:0.1433, Pr:0.3059, Auc:0.5, Rec:0.3059
Layer 7, Acc:0.8088235855102539, F:0.8369, Pr:0.8353, Auc:0.8168, Rec:0.8353
Layer 8, Acc:0.29411765933036804, F:0.1433, Pr:0.3059, Auc:0.5, Rec:0.3059
Layer 7, max_Acc:80.882359, F:0.8369, Pr:0.8353, Auc:0.8168, Rec:0.8353
hd:16, dp:0.6, wd:0.05, layer 1 
epoch 1 | train ACC 29.4118 % | test ACC 45.5882 % | train loss 0.0105
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0086
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
1layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.05, layer 2 
epoch 1 | train ACC 47.0588 % | test ACC 50.0 % | train loss 0.0269
epoch 11 | train ACC 64.7059 % | test ACC 64.7059 % | train loss 0.0114
epoch 21 | train ACC 64.7059 % | test ACC 67.6471 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 41 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0083
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
2layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.05, layer 3 
epoch 1 | train ACC 17.6471 % | test ACC 52.9412 % | train loss 0.0269
epoch 11 | train ACC 47.0588 % | test ACC 47.0588 % | train loss 0.0114
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.009
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0092
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0092
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0091
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
3layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.05, layer 4 
epoch 1 | train ACC 64.7059 % | test ACC 44.1176 % | train loss 0.027
epoch 11 | train ACC 58.8235 % | test ACC 70.5882 % | train loss 0.0114
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.008
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0097
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0091
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0086
epoch 141 | train ACC 64.7059 % | test ACC 72.0588 % | train loss 0.009
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.009
epoch 161 | train ACC 76.4706 % | test ACC 72.0588 % | train loss 0.0093
epoch 171 | train ACC 70.5882 % | test ACC 73.5294 % | train loss 0.0076
epoch 181 | train ACC 94.1176 % | test ACC 76.4706 % | train loss 0.0087
epoch 191 | train ACC 64.7059 % | test ACC 72.0588 % | train loss 0.0114
4layers, Final test  ACC: 77.9412 %
hd:16, dp:0.6, wd:0.05, layer 5 
epoch 1 | train ACC 47.0588 % | test ACC 36.7647 % | train loss 0.027
epoch 11 | train ACC 64.7059 % | test ACC 54.4118 % | train loss 0.0114
epoch 21 | train ACC 47.0588 % | test ACC 60.2941 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0082
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0104
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0105
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0088
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 121 | train ACC 76.4706 % | test ACC 75.0 % | train loss 0.0111
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0096
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0116
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0092
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0092
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0096
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.01
5layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.05, layer 6 
epoch 1 | train ACC 52.9412 % | test ACC 58.8235 % | train loss 0.027
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0114
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0078
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0087
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0109
epoch 91 | train ACC 64.7059 % | test ACC 73.5294 % | train loss 0.0115
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0155
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.019
epoch 131 | train ACC 64.7059 % | test ACC 69.1177 % | train loss 0.0117
epoch 141 | train ACC 70.5882 % | test ACC 73.5294 % | train loss 0.0106
epoch 151 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0159
epoch 161 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0115
epoch 171 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0093
epoch 181 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0086
epoch 191 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0084
6layers, Final test  ACC: 29.4118 %
hd:16, dp:0.6, wd:0.05, layer 7 
epoch 1 | train ACC 52.9412 % | test ACC 51.4706 % | train loss 0.027
epoch 11 | train ACC 58.8235 % | test ACC 70.5882 % | train loss 0.0114
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0079
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.009
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0083
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0088
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0087
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0084
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0162
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0116
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0109
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0125
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0107
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0091
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.013
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0099
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0208
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.016
7layers, Final test  ACC: 70.5882 %
hd:16, dp:0.6, wd:0.05, layer 8 
epoch 1 | train ACC 41.1765 % | test ACC 41.1765 % | train loss 0.0269
epoch 11 | train ACC 64.7059 % | test ACC 75.0 % | train loss 0.0114
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0085
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0086
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0092
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0088
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.012
epoch 111 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0126
epoch 121 | train ACC 41.1765 % | test ACC 29.4118 % | train loss 0.01
epoch 131 | train ACC 64.7059 % | test ACC 64.7059 % | train loss 0.0089
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0165
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0112
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0089
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0094
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0088
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0128
8layers, Final test  ACC: 70.5882 %
Layer 1, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 2, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 3, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 4, Acc:0.779411792755127, F:0.7812, Pr:0.8118, Auc:0.6923, Rec:0.8118
Layer 5, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 6, Acc:0.29411765933036804, F:0.1433, Pr:0.3059, Auc:0.5, Rec:0.3059
Layer 7, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 8, Acc:0.7058824300765991, F:0.5688, Pr:0.6941, Auc:0.5, Rec:0.6941
Layer 4, max_Acc:77.941179, F:0.7812, Pr:0.8118, Auc:0.6923, Rec:0.8118
hd:16, dp:0.7, wd:0.0005, layer 1 
epoch 1 | train ACC 52.9412 % | test ACC 45.5882 % | train loss 0.0082
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 71 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 81 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 91 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 101 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 111 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 121 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 131 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 141 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 151 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 161 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 171 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 181 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 191 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
1layers, Final test  ACC: 70.5882 %
hd:16, dp:0.7, wd:0.0005, layer 2 
epoch 1 | train ACC 58.8235 % | test ACC 47.0588 % | train loss 0.0083
epoch 11 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
epoch 21 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0081
