dataset: CLL_SUB | 3 classes | 11340 features | deivce: cpu
epoch 161 | train ACC 52.381 % | test ACC 45.5556 % | train loss 0.007
epoch 171 | train ACC 52.381 % | test ACC 51.1111 % | train loss 0.0071
epoch 181 | train ACC 61.9048 % | test ACC 47.7778 % | train loss 0.0073
epoch 191 | train ACC 42.8571 % | test ACC 47.7778 % | train loss 0.0074
4layers, Final test  ACC: 53.3333 %
hd:8, dp:0.4, wd:0.0005, layer 5 
epoch 1 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.01
epoch 11 | train ACC 57.1429 % | test ACC 44.4444 % | train loss 0.0099
epoch 21 | train ACC 42.8571 % | test ACC 43.3333 % | train loss 0.0096
epoch 31 | train ACC 47.619 % | test ACC 46.6667 % | train loss 0.0086
epoch 41 | train ACC 38.0952 % | test ACC 43.3333 % | train loss 0.0094
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 61 | train ACC 52.381 % | test ACC 44.4444 % | train loss 0.0078
epoch 71 | train ACC 61.9048 % | test ACC 52.2222 % | train loss 0.0075
epoch 81 | train ACC 38.0952 % | test ACC 61.1111 % | train loss 0.0078
epoch 91 | train ACC 57.1429 % | test ACC 51.1111 % | train loss 0.0072
epoch 101 | train ACC 57.1429 % | test ACC 54.4444 % | train loss 0.0072
epoch 111 | train ACC 52.381 % | test ACC 57.7778 % | train loss 0.0072
epoch 121 | train ACC 57.1429 % | test ACC 50.0 % | train loss 0.0072
epoch 131 | train ACC 61.9048 % | test ACC 54.4444 % | train loss 0.0061
epoch 141 | train ACC 52.381 % | test ACC 58.8889 % | train loss 0.0064
epoch 151 | train ACC 52.381 % | test ACC 55.5556 % | train loss 0.0073
epoch 161 | train ACC 52.381 % | test ACC 52.2222 % | train loss 0.0065
epoch 171 | train ACC 52.381 % | test ACC 58.8889 % | train loss 0.0063
epoch 181 | train ACC 71.4286 % | test ACC 55.5556 % | train loss 0.0065
epoch 191 | train ACC 52.381 % | test ACC 57.7778 % | train loss 0.0065
5layers, Final test  ACC: 46.6667 %
hd:8, dp:0.4, wd:0.0005, layer 6 
epoch 1 | train ACC 28.5714 % | test ACC 16.6667 % | train loss 0.01
epoch 11 | train ACC 38.0952 % | test ACC 33.3333 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 31 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0099
epoch 41 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0098
epoch 51 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.009
epoch 61 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0094
epoch 71 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 81 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0096
epoch 91 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0083
epoch 101 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0083
epoch 111 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0088
epoch 121 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0079
epoch 131 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0074
epoch 141 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.008
epoch 151 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.008
epoch 161 | train ACC 47.619 % | test ACC 53.3333 % | train loss 0.009
epoch 171 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0088
epoch 181 | train ACC 42.8571 % | test ACC 45.5556 % | train loss 0.0082
epoch 191 | train ACC 47.619 % | test ACC 45.5556 % | train loss 0.0076
6layers, Final test  ACC: 45.5556 %
hd:8, dp:0.4, wd:0.0005, layer 7 
epoch 1 | train ACC 52.381 % | test ACC 43.3333 % | train loss 0.01
epoch 11 | train ACC 47.619 % | test ACC 51.1111 % | train loss 0.0099
epoch 21 | train ACC 47.619 % | test ACC 51.1111 % | train loss 0.0095
epoch 31 | train ACC 52.381 % | test ACC 47.7778 % | train loss 0.0082
epoch 41 | train ACC 47.619 % | test ACC 44.4444 % | train loss 0.0092
epoch 51 | train ACC 71.4286 % | test ACC 42.2222 % | train loss 0.0072
epoch 61 | train ACC 52.381 % | test ACC 48.8889 % | train loss 0.0079
