dataset: Lung | 5 classes | 3312 features | deivce: cpu
epoch 171 | train ACC 72.5 % | test ACC 69.3251 % | train loss 0.0053
epoch 181 | train ACC 75.0 % | test ACC 72.3926 % | train loss 0.0044
epoch 191 | train ACC 80.0 % | test ACC 75.4601 % | train loss 0.0043
4layers, Final test  ACC: 76.6871 %
hd:8, dp:0.4, wd:0.0005, layer 5 
epoch 1 | train ACC 10.0 % | test ACC 8.589 % | train loss 0.008
epoch 11 | train ACC 7.5 % | test ACC 13.4969 % | train loss 0.0079
epoch 21 | train ACC 42.5 % | test ACC 50.3067 % | train loss 0.0079
epoch 31 | train ACC 45.0 % | test ACC 50.9202 % | train loss 0.0077
epoch 41 | train ACC 62.5 % | test ACC 63.1902 % | train loss 0.0064
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0052
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0046
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0043
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0046
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0043
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0043
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.005
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0046
5layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.0005, layer 6 
epoch 1 | train ACC 12.5 % | test ACC 12.2699 % | train loss 0.008
epoch 11 | train ACC 50.0 % | test ACC 52.7607 % | train loss 0.0079
epoch 21 | train ACC 60.0 % | test ACC 61.3497 % | train loss 0.0077
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0062
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0056
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0054
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.006
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0054
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0054
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0055
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0047
epoch 141 | train ACC 72.5 % | test ACC 68.0982 % | train loss 0.0045
epoch 151 | train ACC 70.0 % | test ACC 68.7117 % | train loss 0.0043
epoch 161 | train ACC 72.5 % | test ACC 73.0061 % | train loss 0.0037
epoch 171 | train ACC 70.0 % | test ACC 70.5521 % | train loss 0.0045
epoch 181 | train ACC 80.0 % | test ACC 74.8466 % | train loss 0.0037
epoch 191 | train ACC 77.5 % | test ACC 76.0736 % | train loss 0.0037
6layers, Final test  ACC: 76.6871 %
hd:8, dp:0.4, wd:0.0005, layer 7 
epoch 1 | train ACC 17.5 % | test ACC 25.1534 % | train loss 0.008
epoch 11 | train ACC 62.5 % | test ACC 55.2147 % | train loss 0.0079
epoch 21 | train ACC 67.5 % | test ACC 60.7362 % | train loss 0.0077
epoch 31 | train ACC 70.0 % | test ACC 66.2577 % | train loss 0.0056
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0059
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0062
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0055
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0042
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0043
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0036
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0044
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0033
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.004
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0036
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0041
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0033
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0042
7layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.0005, layer 8 
epoch 1 | train ACC 10.0 % | test ACC 11.6564 % | train loss 0.008
epoch 11 | train ACC 10.0 % | test ACC 9.8159 % | train loss 0.0079
epoch 21 | train ACC 70.0 % | test ACC 61.3497 % | train loss 0.0075
epoch 31 | train ACC 70.0 % | test ACC 65.6442 % | train loss 0.0063
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0054
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0049
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0049
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.005
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0042
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0041
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.004
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0039
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0034
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0033
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0036
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0033
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0037
8layers, Final test  ACC: 68.0982 %
Layer 1, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.7688, Rec:0.6847
Layer 2, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.7842, Rec:0.6847
Layer 3, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8404, Rec:0.6847
Layer 4, Acc:0.7668710947036743, F:0.6809, Pr:0.7734, Auc:0.8895, Rec:0.7734
Layer 5, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8904, Rec:0.6847
Layer 6, Acc:0.7668711543083191, F:0.7063, Pr:0.7734, Auc:0.9123, Rec:0.7734
Layer 7, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8878, Rec:0.6847
Layer 8, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8844, Rec:0.6847
Layer 6, max_Acc:76.687115, F:0.7063, Pr:0.7734, Auc:0.9123, Rec:0.7734
hd:8, dp:0.4, wd:0.005, layer 1 
epoch 1 | train ACC 7.5 % | test ACC 7.9755 % | train loss 0.0082
epoch 11 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 21 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
1layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 2 
epoch 1 | train ACC 12.5 % | test ACC 8.589 % | train loss 0.0083
epoch 11 | train ACC 67.5 % | test ACC 66.2577 % | train loss 0.008
epoch 21 | train ACC 70.0 % | test ACC 66.8712 % | train loss 0.0079
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0078
epoch 51 | train ACC 70.0 % | test ACC 66.8712 % | train loss 0.0077
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0076
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0075
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0075
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0074
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0072
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0071
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0071
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.007
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0067
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0069
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0067
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0067
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0066
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0063
2layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 3 
epoch 1 | train ACC 10.0 % | test ACC 11.6564 % | train loss 0.0083
epoch 11 | train ACC 60.0 % | test ACC 55.2147 % | train loss 0.008
epoch 21 | train ACC 62.5 % | test ACC 61.3497 % | train loss 0.0079
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0077
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0076
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0073
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0068
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0063
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0062
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0061
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0059
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0061
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0064
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0059
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0059
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
3layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 4 
epoch 1 | train ACC 12.5 % | test ACC 9.2025 % | train loss 0.0083
epoch 11 | train ACC 67.5 % | test ACC 58.8957 % | train loss 0.008
epoch 21 | train ACC 67.5 % | test ACC 64.4172 % | train loss 0.0078
epoch 31 | train ACC 70.0 % | test ACC 65.0307 % | train loss 0.0073
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0068
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0065
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0063
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0056
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0059
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0052
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0049
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0055
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0054
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
4layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 5 
epoch 1 | train ACC 10.0 % | test ACC 9.8159 % | train loss 0.0083
epoch 11 | train ACC 60.0 % | test ACC 61.3497 % | train loss 0.008
epoch 21 | train ACC 65.0 % | test ACC 63.1902 % | train loss 0.0079
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0074
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0064
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0058
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0051
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0052
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0055
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0055
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0048
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0054
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.005
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0052
5layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 6 
epoch 1 | train ACC 7.5 % | test ACC 17.7914 % | train loss 0.0083
epoch 11 | train ACC 42.5 % | test ACC 53.9877 % | train loss 0.008
epoch 21 | train ACC 70.0 % | test ACC 65.0307 % | train loss 0.0078
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0069
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0061
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0059
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0057
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0056
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0056
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0047
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0049
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.005
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0048
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0047
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0048
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0048
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0049
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0042
6layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 7 
epoch 1 | train ACC 55.0 % | test ACC 41.7178 % | train loss 0.0083
epoch 11 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.008
epoch 21 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0076
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0069
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.006
epoch 51 | train ACC 67.5 % | test ACC 68.0982 % | train loss 0.0054
epoch 61 | train ACC 72.5 % | test ACC 67.4847 % | train loss 0.0052
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0047
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0047
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0053
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0039
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0067
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0041
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0042
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0038
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0035
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.005
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0071
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0042
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.004
7layers, Final test  ACC: 68.0982 %
hd:8, dp:0.4, wd:0.005, layer 8 
epoch 1 | train ACC 15.0 % | test ACC 12.2699 % | train loss 0.0083
epoch 11 | train ACC 50.0 % | test ACC 39.2638 % | train loss 0.008
epoch 21 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 31 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 41 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 51 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 61 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 71 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 81 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 91 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 101 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 111 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 121 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 131 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 141 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 151 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 161 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 171 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 181 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
epoch 191 | train ACC 70.0 % | test ACC 68.0982 % | train loss 0.0079
8layers, Final test  ACC: 68.0982 %
Layer 1, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.7764, Rec:0.6847
Layer 2, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.6783, Rec:0.6847
Layer 3, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8482, Rec:0.6847
Layer 4, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8727, Rec:0.6847
Layer 5, Acc:0.6809816360473633, F:0.5566, Pr:0.6847, Auc:0.8884, Rec:0.6847
