dataset: ALLAML | 2 classes | 7129 features | deivce: cpu
epoch 11 | train ACC 71.4286 % | test ACC 58.6207 % | train loss 0.0478
epoch 21 | train ACC 71.4286 % | test ACC 50.0 % | train loss 0.0679
epoch 31 | train ACC 78.5714 % | test ACC 65.5172 % | train loss 0.051
epoch 41 | train ACC 64.2857 % | test ACC 50.0 % | train loss 0.042
epoch 51 | train ACC 78.5714 % | test ACC 60.3448 % | train loss 0.0314
epoch 61 | train ACC 78.5714 % | test ACC 58.6207 % | train loss 0.0232
epoch 71 | train ACC 85.7143 % | test ACC 60.3448 % | train loss 0.0186
epoch 81 | train ACC 78.5714 % | test ACC 62.069 % | train loss 0.0149
epoch 91 | train ACC 85.7143 % | test ACC 75.8621 % | train loss 0.0144
epoch 101 | train ACC 71.4286 % | test ACC 48.2759 % | train loss 0.0163
epoch 111 | train ACC 78.5714 % | test ACC 46.5517 % | train loss 0.0144
epoch 121 | train ACC 71.4286 % | test ACC 31.0345 % | train loss 0.0125
epoch 131 | train ACC 78.5714 % | test ACC 48.2759 % | train loss 0.0108
epoch 141 | train ACC 71.4286 % | test ACC 55.1724 % | train loss 0.0099
epoch 151 | train ACC 71.4286 % | test ACC 44.8276 % | train loss 0.0089
epoch 161 | train ACC 85.7143 % | test ACC 50.0 % | train loss 0.0084
epoch 171 | train ACC 71.4286 % | test ACC 62.069 % | train loss 0.0686
epoch 181 | train ACC 71.4286 % | test ACC 60.3448 % | train loss 0.0686
epoch 191 | train ACC 78.5714 % | test ACC 41.3793 % | train loss 0.069
2layers, Final test  ACC: 41.3793 %
hd:16, dp:0.7, wd:0.05, layer 3 
epoch 1 | train ACC 71.4286 % | test ACC 65.5172 % | train loss 0.0286
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0335
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0373
epoch 31 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0267
epoch 41 | train ACC 57.1429 % | test ACC 58.6207 % | train loss 0.0244
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0207
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0138
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0172
epoch 81 | train ACC 64.2857 % | test ACC 70.6897 % | train loss 0.0272
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0175
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0135
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0111
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0105
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0098
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0092
3layers, Final test  ACC: 65.5172 %
hd:16, dp:0.7, wd:0.05, layer 4 
epoch 1 | train ACC 50.0 % | test ACC 31.0345 % | train loss 0.0324
epoch 11 | train ACC 50.0 % | test ACC 60.3448 % | train loss 0.0529
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0361
epoch 31 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0318
epoch 41 | train ACC 64.2857 % | test ACC 62.069 % | train loss 0.0225
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0167
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0134
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0116
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0095
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0096
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0079
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0079
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0073
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0081
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0089
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 171 | train ACC 42.8571 % | test ACC 56.8965 % | train loss 0.0166
epoch 181 | train ACC 57.1429 % | test ACC 62.069 % | train loss 0.0218
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0151
4layers, Final test  ACC: 65.5172 %
hd:16, dp:0.7, wd:0.05, layer 5 
epoch 1 | train ACC 35.7143 % | test ACC 34.4828 % | train loss 0.0346
epoch 11 | train ACC 57.1429 % | test ACC 44.8276 % | train loss 0.0294
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0265
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0177
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0127
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0109
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0089
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0078
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0098
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0132
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0137
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.011
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
5layers, Final test  ACC: 65.5172 %
hd:16, dp:0.7, wd:0.05, layer 6 
epoch 1 | train ACC 57.1429 % | test ACC 60.3448 % | train loss 0.0316
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.022
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.016
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0105
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0088
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0104
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.009
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0089
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0107
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0093
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0093
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0097
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0098
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
6layers, Final test  ACC: 65.5172 %
hd:16, dp:0.7, wd:0.05, layer 7 
epoch 1 | train ACC 42.8571 % | test ACC 34.4828 % | train loss 0.0322
epoch 11 | train ACC 78.5714 % | test ACC 63.7931 % | train loss 0.0125
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.01
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0096
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0092
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0116
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0098
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0092
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0104
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0118
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0118
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0104
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0103
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0101
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0117
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0092
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0103
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0097
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0099
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0099
7layers, Final test  ACC: 65.5172 %
hd:16, dp:0.7, wd:0.05, layer 8 
epoch 1 | train ACC 35.7143 % | test ACC 34.4828 % | train loss 0.0327
epoch 11 | train ACC 71.4286 % | test ACC 60.3448 % | train loss 0.0289
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.02
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0106
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0116
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0089
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0113
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0129
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0097
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0108
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0088
8layers, Final test  ACC: 65.5172 %
Layer 1, Acc:0.6379309892654419, F:0.7118, Pr:0.7083, Auc:0.6923, Rec:0.7083
Layer 2, Acc:0.41379308700561523, F:0.4825, Pr:0.4722, Auc:0.446, Rec:0.4722
Layer 3, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 4, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 5, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 6, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 7, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 8, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 3, max_Acc:65.517247, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
hd:16, dp:0.8, wd:0.0005, layer 1 
epoch 1 | train ACC 71.4286 % | test ACC 44.8276 % | train loss 0.0088
epoch 11 | train ACC 100.0 % | test ACC 65.5172 % | train loss 0.0049
epoch 21 | train ACC 100.0 % | test ACC 70.6897 % | train loss 0.0047
epoch 31 | train ACC 100.0 % | test ACC 58.6207 % | train loss 0.0047
epoch 41 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0046
epoch 51 | train ACC 100.0 % | test ACC 67.2414 % | train loss 0.0046
epoch 61 | train ACC 100.0 % | test ACC 65.5172 % | train loss 0.0045
epoch 71 | train ACC 100.0 % | test ACC 70.6897 % | train loss 0.0045
epoch 81 | train ACC 100.0 % | test ACC 72.4138 % | train loss 0.0045
epoch 91 | train ACC 100.0 % | test ACC 70.6897 % | train loss 0.0044
epoch 101 | train ACC 100.0 % | test ACC 72.4138 % | train loss 0.0044
epoch 111 | train ACC 100.0 % | test ACC 67.2414 % | train loss 0.0045
epoch 121 | train ACC 100.0 % | test ACC 67.2414 % | train loss 0.0045
epoch 131 | train ACC 100.0 % | test ACC 72.4138 % | train loss 0.0045
epoch 141 | train ACC 100.0 % | test ACC 65.5172 % | train loss 0.0045
epoch 151 | train ACC 100.0 % | test ACC 63.7931 % | train loss 0.0045
epoch 161 | train ACC 100.0 % | test ACC 67.2414 % | train loss 0.0045
epoch 171 | train ACC 100.0 % | test ACC 65.5172 % | train loss 0.0045
epoch 181 | train ACC 100.0 % | test ACC 70.6897 % | train loss 0.0044
epoch 191 | train ACC 100.0 % | test ACC 74.1379 % | train loss 0.0045
1layers, Final test  ACC: 72.4138 %
hd:16, dp:0.8, wd:0.0005, layer 2 
epoch 1 | train ACC 71.4286 % | test ACC 53.4483 % | train loss 0.006
epoch 11 | train ACC 64.2857 % | test ACC 50.0 % | train loss 0.0566
epoch 21 | train ACC 85.7143 % | test ACC 50.0 % | train loss 0.0747
epoch 31 | train ACC 92.8571 % | test ACC 63.7931 % | train loss 0.0102
epoch 41 | train ACC 78.5714 % | test ACC 68.9655 % | train loss 0.008
epoch 51 | train ACC 100.0 % | test ACC 62.069 % | train loss 0.0072
epoch 61 | train ACC 92.8571 % | test ACC 62.069 % | train loss 0.0108
epoch 71 | train ACC 100.0 % | test ACC 63.7931 % | train loss 0.0089
epoch 81 | train ACC 78.5714 % | test ACC 58.6207 % | train loss 0.008
epoch 91 | train ACC 92.8571 % | test ACC 70.6896 % | train loss 0.0104
epoch 101 | train ACC 85.7143 % | test ACC 58.6207 % | train loss 0.0113
epoch 111 | train ACC 78.5714 % | test ACC 62.069 % | train loss 0.007
epoch 121 | train ACC 92.8571 % | test ACC 63.7931 % | train loss 0.0074
epoch 131 | train ACC 92.8571 % | test ACC 56.8965 % | train loss 0.006
epoch 141 | train ACC 92.8571 % | test ACC 65.5172 % | train loss 0.0087
epoch 151 | train ACC 85.7143 % | test ACC 60.3448 % | train loss 0.0065
epoch 161 | train ACC 92.8571 % | test ACC 56.8965 % | train loss 0.007
epoch 171 | train ACC 78.5714 % | test ACC 63.7931 % | train loss 0.0088
epoch 181 | train ACC 92.8571 % | test ACC 70.6897 % | train loss 0.0081
epoch 191 | train ACC 71.4286 % | test ACC 58.6207 % | train loss 0.0098
2layers, Final test  ACC: 63.7931 %
hd:16, dp:0.8, wd:0.0005, layer 3 
epoch 1 | train ACC 64.2857 % | test ACC 67.2414 % | train loss 0.0073
epoch 11 | train ACC 64.2857 % | test ACC 62.069 % | train loss 0.0073
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0155
epoch 31 | train ACC 78.5714 % | test ACC 67.2414 % | train loss 0.0056
epoch 41 | train ACC 85.7143 % | test ACC 56.8965 % | train loss 0.0071
epoch 51 | train ACC 92.8571 % | test ACC 55.1724 % | train loss 0.0099
epoch 61 | train ACC 92.8571 % | test ACC 53.4483 % | train loss 0.0068
epoch 71 | train ACC 85.7143 % | test ACC 56.8966 % | train loss 0.0068
epoch 81 | train ACC 85.7143 % | test ACC 74.1379 % | train loss 0.0066
epoch 91 | train ACC 85.7143 % | test ACC 65.5172 % | train loss 0.0074
epoch 101 | train ACC 78.5714 % | test ACC 62.069 % | train loss 0.0063
epoch 111 | train ACC 92.8571 % | test ACC 51.7241 % | train loss 0.0073
epoch 121 | train ACC 78.5714 % | test ACC 58.6207 % | train loss 0.0072
epoch 131 | train ACC 92.8571 % | test ACC 65.5172 % | train loss 0.0052
epoch 141 | train ACC 78.5714 % | test ACC 60.3448 % | train loss 0.005
epoch 151 | train ACC 100.0 % | test ACC 79.3103 % | train loss 0.0083
epoch 161 | train ACC 85.7143 % | test ACC 58.6207 % | train loss 0.0062
epoch 171 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0083
epoch 181 | train ACC 92.8571 % | test ACC 58.6207 % | train loss 0.008
epoch 191 | train ACC 92.8571 % | test ACC 72.4138 % | train loss 0.0079
3layers, Final test  ACC: 75.8621 %
hd:16, dp:0.8, wd:0.0005, layer 4 
epoch 1 | train ACC 35.7143 % | test ACC 46.5517 % | train loss 0.0129
epoch 11 | train ACC 71.4286 % | test ACC 79.3103 % | train loss 0.0097
epoch 21 | train ACC 35.7143 % | test ACC 65.5172 % | train loss 0.011
epoch 31 | train ACC 71.4286 % | test ACC 65.5172 % | train loss 0.0095
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0095
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 71 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0074
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.009
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0079
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0073
epoch 111 | train ACC 78.5714 % | test ACC 67.2414 % | train loss 0.0063
epoch 121 | train ACC 85.7143 % | test ACC 75.8621 % | train loss 0.006
epoch 131 | train ACC 85.7143 % | test ACC 70.6897 % | train loss 0.0086
epoch 141 | train ACC 92.8571 % | test ACC 81.0345 % | train loss 0.0061
epoch 151 | train ACC 92.8571 % | test ACC 75.8621 % | train loss 0.0047
epoch 161 | train ACC 100.0 % | test ACC 81.0345 % | train loss 0.0041
epoch 171 | train ACC 92.8571 % | test ACC 65.5172 % | train loss 0.0066
epoch 181 | train ACC 85.7143 % | test ACC 62.069 % | train loss 0.0171
epoch 191 | train ACC 78.5714 % | test ACC 65.5172 % | train loss 0.0136
4layers, Final test  ACC: 65.5172 %
hd:16, dp:0.8, wd:0.0005, layer 5 
epoch 1 | train ACC 28.5714 % | test ACC 56.8965 % | train loss 0.01
epoch 11 | train ACC 64.2857 % | test ACC 62.069 % | train loss 0.0072
epoch 21 | train ACC 78.5714 % | test ACC 65.5172 % | train loss 0.0086
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0082
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.009
epoch 51 | train ACC 50.0 % | test ACC 63.7931 % | train loss 0.01
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 81 | train ACC 78.5714 % | test ACC 67.2414 % | train loss 0.0078
epoch 91 | train ACC 64.2857 % | test ACC 67.2414 % | train loss 0.0163
epoch 101 | train ACC 78.5714 % | test ACC 65.5172 % | train loss 0.0085
epoch 111 | train ACC 78.5714 % | test ACC 65.5172 % | train loss 0.0089
epoch 121 | train ACC 71.4286 % | test ACC 65.5172 % | train loss 0.0073
epoch 131 | train ACC 71.4286 % | test ACC 62.069 % | train loss 0.0075
epoch 141 | train ACC 85.7143 % | test ACC 74.1379 % | train loss 0.007
epoch 151 | train ACC 71.4286 % | test ACC 63.7931 % | train loss 0.0077
epoch 161 | train ACC 71.4286 % | test ACC 63.7931 % | train loss 0.0092
epoch 171 | train ACC 85.7143 % | test ACC 68.9655 % | train loss 0.0087
epoch 181 | train ACC 71.4286 % | test ACC 65.5172 % | train loss 0.0077
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
5layers, Final test  ACC: 53.4483 %
hd:16, dp:0.8, wd:0.0005, layer 6 
epoch 1 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0091
epoch 11 | train ACC 50.0 % | test ACC 46.5517 % | train loss 0.009
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0082
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0079
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 91 | train ACC 78.5714 % | test ACC 68.9655 % | train loss 0.0079
epoch 101 | train ACC 92.8571 % | test ACC 56.8966 % | train loss 0.0038
epoch 111 | train ACC 78.5714 % | test ACC 79.3103 % | train loss 0.0068
epoch 121 | train ACC 85.7143 % | test ACC 70.6897 % | train loss 0.0058
epoch 131 | train ACC 85.7143 % | test ACC 79.3103 % | train loss 0.0067
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0102
epoch 151 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0117
epoch 161 | train ACC 78.5714 % | test ACC 65.5172 % | train loss 0.0084
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0125
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0102
6layers, Final test  ACC: 65.5172 %
hd:16, dp:0.8, wd:0.0005, layer 7 
epoch 1 | train ACC 28.5714 % | test ACC 41.3793 % | train loss 0.0104
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0095
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0073
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 61 | train ACC 78.5714 % | test ACC 67.2414 % | train loss 0.0071
epoch 71 | train ACC 85.7143 % | test ACC 75.8621 % | train loss 0.0068
epoch 81 | train ACC 92.8571 % | test ACC 65.5172 % | train loss 0.0047
epoch 91 | train ACC 35.7143 % | test ACC 34.4828 % | train loss 0.3085
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0116
epoch 111 | train ACC 64.2857 % | test ACC 70.6897 % | train loss 0.0088
epoch 121 | train ACC 71.4286 % | test ACC 44.8276 % | train loss 0.0086
epoch 131 | train ACC 64.2857 % | test ACC 67.2414 % | train loss 0.0098
epoch 141 | train ACC 64.2857 % | test ACC 68.9655 % | train loss 0.0098
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0108
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0086
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0102
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0107
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0093
7layers, Final test  ACC: 65.5172 %
hd:16, dp:0.8, wd:0.0005, layer 8 
epoch 1 | train ACC 71.4286 % | test ACC 63.7931 % | train loss 0.0098
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0066
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0079
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0083
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0078
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0253
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0089
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0087
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0073
8layers, Final test  ACC: 65.5172 %
Layer 1, Acc:0.7241379618644714, F:0.7755, Pr:0.7778, Auc:0.7455, Rec:0.7778
Layer 2, Acc:0.6379309892654419, F:0.6861, Pr:0.6806, Auc:0.6711, Rec:0.6806
Layer 3, Acc:0.7586206793785095, F:0.7819, Pr:0.7917, Auc:0.7374, Rec:0.7917
Layer 4, Acc:0.6551724076271057, F:0.6947, Pr:0.7083, Auc:0.6455, Rec:0.7083
Layer 5, Acc:0.5344827175140381, F:0.4873, Pr:0.5139, Auc:0.6089, Rec:0.5139
Layer 6, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 7, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 8, Acc:0.6551724672317505, F:0.5156, Pr:0.6528, Auc:0.5, Rec:0.6528
Layer 3, max_Acc:75.862068, F:0.7819, Pr:0.7917, Auc:0.7374, Rec:0.7917
hd:16, dp:0.8, wd:0.005, layer 1 
epoch 1 | train ACC 14.2857 % | test ACC 53.4483 % | train loss 0.0496
epoch 11 | train ACC 100.0 % | test ACC 60.3448 % | train loss 0.0061
epoch 21 | train ACC 100.0 % | test ACC 72.4138 % | train loss 0.0062
epoch 31 | train ACC 92.8571 % | test ACC 77.5862 % | train loss 0.0062
epoch 41 | train ACC 100.0 % | test ACC 70.6897 % | train loss 0.0061
epoch 51 | train ACC 100.0 % | test ACC 75.8621 % | train loss 0.0061
epoch 61 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.0061
epoch 71 | train ACC 92.8571 % | test ACC 68.9655 % | train loss 0.0061
epoch 81 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.006
epoch 91 | train ACC 100.0 % | test ACC 65.5172 % | train loss 0.006
epoch 101 | train ACC 100.0 % | test ACC 74.1379 % | train loss 0.006
