dataset: ALLAML | 2 classes | 7129 features | deivce: cpu
epoch 161 | train ACC 92.8571 % | test ACC 74.1379 % | train loss 0.0043
epoch 171 | train ACC 92.8571 % | test ACC 67.2414 % | train loss 0.0033
epoch 181 | train ACC 100.0 % | test ACC 74.1379 % | train loss 0.0029
epoch 191 | train ACC 100.0 % | test ACC 68.9655 % | train loss 0.0029
4layers, Final test  ACC: 75.8621 %
hd:8, dp:0.4, wd:0.0005, layer 5 
epoch 1 | train ACC 35.7143 % | test ACC 55.1724 % | train loss 0.0098
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 21 | train ACC 64.2857 % | test ACC 67.2414 % | train loss 0.0073
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0066
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0066
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0071
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
5layers, Final test  ACC: 65.5172 %
hd:8, dp:0.4, wd:0.0005, layer 6 
epoch 1 | train ACC 28.5714 % | test ACC 51.7241 % | train loss 0.0101
epoch 11 | train ACC 64.2857 % | test ACC 60.3448 % | train loss 0.0071
epoch 21 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0079
epoch 31 | train ACC 64.2857 % | test ACC 63.7931 % | train loss 0.0072
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0084
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0078
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0062
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0077
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0065
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0078
epoch 141 | train ACC 85.7143 % | test ACC 68.9655 % | train loss 0.0067
epoch 151 | train ACC 85.7143 % | test ACC 63.7931 % | train loss 0.0061
epoch 161 | train ACC 100.0 % | test ACC 63.7931 % | train loss 0.0049
epoch 171 | train ACC 92.8571 % | test ACC 56.8966 % | train loss 0.0034
epoch 181 | train ACC 92.8571 % | test ACC 74.1379 % | train loss 0.0049
epoch 191 | train ACC 85.7143 % | test ACC 72.4138 % | train loss 0.0057
6layers, Final test  ACC: 72.4138 %
hd:8, dp:0.4, wd:0.0005, layer 7 
epoch 1 | train ACC 35.7143 % | test ACC 36.2069 % | train loss 0.0103
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.008
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0071
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 71 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 81 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 91 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 101 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 111 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0068
epoch 121 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.007
epoch 131 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0066
epoch 141 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0074
epoch 151 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0075
epoch 161 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 171 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0069
epoch 181 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0071
epoch 191 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0076
7layers, Final test  ACC: 65.5172 %
hd:8, dp:0.4, wd:0.0005, layer 8 
epoch 1 | train ACC 71.4286 % | test ACC 65.5172 % | train loss 0.0097
epoch 11 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
epoch 21 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0072
epoch 31 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0067
epoch 41 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0085
epoch 51 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0089
epoch 61 | train ACC 64.2857 % | test ACC 65.5172 % | train loss 0.0078
